,Start,End,Start_Lat,Start_Lon,End_Lat,End_Lon
0,London,Paris,51.4893335,-0.14405508452768728,48.8588897,2.3200410217200766
1,Paris,Amsterdam,48.8588897,2.3200410217200766,52.3730796,4.8924534
2,Barcelona,Madrid,41.3828939,2.1774322,40.4167047,-3.7035825
3,Milan,Rome,45.4641943,9.1896346,41.8933203,12.4829321
4,Berlin,Munich,52.5170365,13.3888599,48.1371079,11.5753822
5,Vienna,Budapest,48.2083537,16.3725042,47.48138955,19.14609412691246
6,Copenhagen,Stockholm,55.6867243,12.5700724,59.3251172,18.0710935
7,Oslo,Bergen,59.9133301,10.7389701,60.3943055,5.3259192
8,Zurich,Milan,47.3744489,8.5410422,45.4641943,9.1896346
9,Amsterdam,Berlin,52.3730796,4.8924534,52.5170365,13.3888599
10,London,Edinburgh,51.4893335,-0.14405508452768728,55.9533456,-3.1883749
11,Paris,Munich,48.8588897,2.3200410217200766,48.1371079,11.5753822
12,Madrid,Seville,40.4167047,-3.7035825,37.3886303,-5.9953403
13,Rome,Florence,41.8933203,12.4829321,43.7697955,11.2556404
14,Berlin,Hamburg,52.5170365,13.3888599,53.550341,10.000654
15,Warsaw,Krakow,52.2337172,21.071432235636493,50.0469432,19.997153435836697
16,Vienna,Prague,48.2083537,16.3725042,50.0874654,14.4212535
17,Stockholm,Gothenburg,59.3251172,18.0710935,57.7072326,11.9670171
18,Oslo,Trondheim,59.9133301,10.7389701,63.4304475,10.3952118
19,Zurich,Geneva,47.3744489,8.5410422,46.2047169,6.1423106290939335
20,Brussels,London,50.8550018,4.3512333761166175,51.4893335,-0.14405508452768728
21,Amsterdam,Brussels,52.3730796,4.8924534,50.8550018,4.3512333761166175
22,Paris,Lyon,48.8588897,2.3200410217200766,45.7578137,4.8320114
23,Milan,Venice,45.4641943,9.1896346,45.4371908,12.3345898
24,Munich,Vienna,48.1371079,11.5753822,48.2083537,16.3725042
25,Copenhagen,Hamburg,55.6867243,12.5700724,53.550341,10.000654
27,Berlin,Frankfurt,52.5170365,13.3888599,50.1106444,8.6820917
29,Paris,Geneva,48.8588897,2.3200410217200766,46.2047169,6.1423106290939335
33,Munich,Zurich,48.1371079,11.5753822,47.3744489,8.5410422
35,Lyon,Marseille,45.7578137,4.8320114,43.2961743,5.3699525
37,Paris,Brussels,48.8588897,2.3200410217200766,50.8550018,4.3512333761166175
38,Vienna,Salzburg,48.2083537,16.3725042,47.7981346,13.0464806
39,Oslo,Stockholm,59.9133301,10.7389701,59.3251172,18.0710935
40,Berlin,Cologne,52.5170365,13.3888599,43.7218277,0.9774958
41,London,Manchester,51.4893335,-0.14405508452768728,53.4794892,-2.2451148
42,Dublin,Cork,53.3493795,-6.2605593,51.897077,-8.4654674
43,Madrid,Valencia,40.4167047,-3.7035825,39.4697065,-0.3763353
44,Munich,Frankfurt,48.1371079,11.5753822,50.1106444,8.6820917
47,Zurich,Basel,47.3744489,8.5410422,47.5581077,7.5878261
48,Lisbon,Porto,38.7077507,-9.1365919,41.1494512,-8.6107884
49,Stockholm,Malmö,59.3251172,18.0710935,55.6052931,13.0001566
52,Florence,Venice,43.7697955,11.2556404,45.4371908,12.3345898
53,Paris,Bordeaux,48.8588897,2.3200410217200766,44.841225,-0.5800364
54,Hamburg,Munich,53.550341,10.000654,48.1371079,11.5753822
55,Milan,Naples,45.4641943,9.1896346,40.8358846,14.2487679
56,Lisbon,Madrid,38.7077507,-9.1365919,40.4167047,-3.7035825
57,Brussels,Frankfurt,50.8550018,4.3512333761166175,50.1106444,8.6820917
58,Berlin,Vienna,52.5170365,13.3888599,48.2083537,16.3725042
59,Rome,Naples,41.8933203,12.4829321,40.8358846,14.2487679
60,Paris,Strasbourg,48.8588897,2.3200410217200766,48.584614,7.7507127
61,Zurich,Lucerne,47.3744489,8.5410422,47.0505452,8.3054682
63,Budapest,Prague,47.48138955,19.14609412691246,50.0874654,14.4212535
64,Warsaw,Berlin,52.2337172,21.071432235636493,52.5170365,13.3888599
65,Milan,Florence,45.4641943,9.1896346,43.7697955,11.2556404
66,Edinburgh,Glasgow,55.9533456,-3.1883749,55.861155,-4.2501687
67,Cologne,Frankfurt,43.7218277,0.9774958,50.1106444,8.6820917
68,London,Birmingham,51.4893335,-0.14405508452768728,52.4796992,-1.9026911
69,Paris,Nice,48.8588897,2.3200410217200766,43.7009358,7.2683912
