DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2010,644,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2011,642,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2012,642,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2013,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2014,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2015,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2016,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2017,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2018,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2019,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2020,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG31,2021,648,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2010,631,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2011,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2012,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2013,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2014,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2015,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2016,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2017,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2018,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2019,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2020,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG32,2021,627,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2010,478,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2011,478,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2012,478,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2013,482,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2014,484,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2015,484,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2016,484,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2017,484,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2018,484,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2019,484,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2020,484,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG33,2021,486,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2010,670,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2011,664,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2012,662,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2013,624,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2014,624,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2015,624,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2016,624,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2017,625,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2018,625,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2019,625,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2020,625,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG34,2021,625,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2010,899,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2011,885,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2012,885,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2013,877,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2014,866,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2015,864,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2016,864,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2017,864,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2018,864,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2019,864,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2020,863,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2021,863,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2010,776,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2011,776,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2012,776,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2013,774,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2014,774,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2015,772,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2016,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2017,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2018,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2019,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2020,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2021,782,
